name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Bop Gun (One Nation),0.843,0.677,6,-9.4,1,0.0533,0.0886,0.000238,0.263,0.77,103.182,665827
What Can I Do?,0.849,0.641,6,-8.224,0,0.275,0.00307,0.0,0.545,0.341,97.969,291040
Lil Ass Gee,0.703,0.913,7,-5.521,1,0.322,0.0202,0.0,0.708,0.563,90.565,228438
"Make It Ruff, Make It Smooth",0.84,0.859,8,-7.582,0,0.252,0.0939,0.0,0.0657,0.665,89.057,256733
Down For Whatever,0.684,0.698,1,-9.811,1,0.0724,0.0155,1.89e-06,0.0838,0.416,149.967,279893
Enemy,0.848,0.815,1,-5.557,1,0.229,0.0645,1.56e-05,0.546,0.713,91.969,321533
When I Get To Heaven,0.735,0.516,11,-8.719,0,0.0894,0.00111,0.0324,0.205,0.455,171.271,272133
What Can I Do? - Westside Remix,0.863,0.807,2,-6.391,1,0.214,0.00257,3.37e-06,0.383,0.485,96.069,267133
What Can I Do? - Remix,0.908,0.574,2,-12.034,1,0.249,0.208,5.35e-06,0.0524,0.649,98.115,286560
You Know How We Do It - Remix,0.916,0.542,5,-7.909,0,0.0623,0.114,0.00601,0.356,0.841,93.017,263440
Lil Ass Gee - Remix,0.664,0.846,11,-5.573,1,0.281,0.0238,0.0,0.335,0.49,90.659,318800
The First Day Of School (Intro),0.431,0.576,5,-15.378,1,0.496,0.404,0.0,0.223,0.256,91.651,79973
When Will They Shoot?,0.739,0.934,0,-3.33,1,0.134,0.0619,0.0,0.366,0.735,95.645,276160
I'm Scared (Insert),0.737,0.74,11,-8.103,0,0.309,0.164,0.0,0.387,0.43,94.704,92133
Wicked,0.803,0.972,10,-4.848,0,0.156,0.192,0.0,0.102,0.627,106.938,235707
Now I Gotta Wet 'Cha,0.755,0.827,7,-4.66,1,0.22,0.247,0.00836,0.315,0.603,96.978,242933
The Predator,0.648,0.793,11,-7.02,0,0.266,0.0125,0.0,0.268,0.582,175.294,243600
It Was A Good Day,0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,260000
We Had To Tear This Mothafucka Up,0.852,0.746,6,-4.459,1,0.312,0.00416,1.45e-05,0.336,0.638,98.813,263933
Fuck 'Em (Insert),0.811,0.927,8,-7.063,0,0.258,0.197,0.0,0.57,0.557,98.297,122600
Dirty Mack,0.863,0.907,7,-4.146,1,0.189,0.0543,1.85e-06,0.181,0.807,101.862,273867
Don't Trust 'Em,0.857,0.858,11,-4.932,0,0.283,0.0672,0.0,0.138,0.672,110.711,246600
Gangsta's Fairytale 2,0.765,0.761,6,-6.743,1,0.283,0.0907,2.66e-05,0.126,0.907,174.187,198960
Check Yo Self,0.856,0.792,1,-3.256,1,0.115,0.191,0.0,0.402,0.8,101.05,222707
Who Got The Camera?,0.774,0.847,11,-5.244,0,0.315,0.106,3.51e-06,0.311,0.688,87.632,277200
Integration (Insert),0.696,0.834,11,-6.746,0,0.27,0.014,0.0,0.362,0.354,94.659,152000
Say Hi To The Bad Guy,0.816,0.743,1,-6.869,1,0.254,0.242,0.0,0.706,0.568,105.942,199733
The First Day Of School,0.432,0.459,5,-19.219,1,0.545,0.327,0.0,0.241,0.307,75.166,79960
When Will They Shoot?,0.801,0.929,7,-3.783,1,0.0936,0.152,0.0,0.398,0.821,95.55,276364
